x1,y1,x2,y2
183.0,208.0,190.0,184.0
85.0,180.0,96.0,171.0
36.0,146.0,47.0,138.0
28.0,83.0,37.0,64.0
115.0,134.0,125.0,122.0
164.0,163.0,174.0,149.0
31.0,164.0,42.0,154.0
115.0,98.0,126.0,90.0
135.0,133.0,145.0,123.0
55.0,157.0,66.0,148.0
36.0,111.0,44.0,91.0
31.0,180.0,49.0,176.0
22.0,47.0,35.0,15.0
137.0,103.0,148.0,95.0
72.0,127.0,84.0,118.0
12.0,164.0,23.0,151.0
96.0,115.0,103.0,100.0
20.0,96.0,29.0,82.0
197.0,192.0,206.0,171.0
61.0,205.0,85.0,199.0
184.0,168.0,191.0,144.0
84.0,154.0,94.0,143.0
208.0,120.0,216.0,102.0
57.0,81.0,63.0,63.0
103.0,174.0,112.0,164.0
69.0,93.0,81.0,69.0
128.0,159.0,145.0,146.0
27.0,214.0,36.0,201.0
199.0,151.0,208.0,131.0
157.0,68.0,151.0,43.0
103.0,140.0,114.0,130.0
123.0,139.0,132.0,126.0
214.0,141.0,224.0,113.0
162.0,73.0,176.0,69.0
135.0,98.0,146.0,90.0
124.0,95.0,139.0,87.0
