x1,y1,x2,y2
117.0,107.0,86.0,99.0
63.0,127.0,32.0,124.0
109.0,99.0,79.0,92.0
147.0,75.0,117.0,72.0
124.0,103.0,94.0,97.0
159.0,51.0,116.0,57.0
87.0,96.0,66.0,88.0
126.0,64.0,99.0,63.0
157.0,104.0,127.0,100.0
145.0,92.0,115.0,88.0
127.0,79.0,101.0,73.0
119.0,127.0,88.0,117.0
132.0,97.0,101.0,91.0
47.0,126.0,20.0,123.0
132.0,121.0,102.0,113.0
244.0,169.0,205.0,173.0
110.0,115.0,80.0,107.0
141.0,112.0,112.0,104.0
167.0,8.0,118.0,8.0
183.0,60.0,151.0,68.0
213.0,71.0,173.0,77.0
244.0,99.0,199.0,95.0
155.0,146.0,123.0,138.0
