x1,y1,x2,y2
115.0,103.0,66.0,115.0
126.0,98.0,74.0,106.0
78.0,129.0,34.0,150.0
154.0,46.0,90.0,48.0
119.0,62.0,59.0,72.0
244.0,142.0,210.0,130.0
91.0,10.0,20.0,26.0
147.0,123.0,103.0,126.0
156.0,57.0,95.0,57.0
110.0,21.0,39.0,31.0
237.0,126.0,199.0,110.0
106.0,8.0,33.0,20.0
122.0,183.0,91.0,193.0
128.0,85.0,74.0,93.0
236.0,149.0,204.0,135.0
136.0,218.0,114.0,225.0
161.0,64.0,102.0,64.0
241.0,218.0,227.0,201.0
67.0,144.0,28.0,166.0
145.0,69.0,87.0,72.0
109.0,79.0,55.0,92.0
151.0,158.0,115.0,159.0
139.0,92.0,87.0,97.0
124.0,44.0,58.0,50.0
