x1,y1,x2,y2
134.0,211.0,134.0,210.0
53.0,189.0,52.0,188.0
116.0,74.0,116.0,70.0
181.0,213.0,180.0,215.0
74.0,173.0,74.0,170.0
216.0,196.0,215.0,198.0
83.0,149.0,82.0,149.0
86.0,126.0,84.0,125.0
174.0,199.0,173.0,197.0
213.0,173.0,210.0,174.0
132.0,82.0,132.0,78.0
228.0,152.0,226.0,150.0
122.0,91.0,121.0,87.0
123.0,135.0,122.0,131.0
82.0,95.0,82.0,99.0
99.0,221.0,97.0,221.0
72.0,205.0,71.0,205.0
172.0,86.0,172.0,82.0
234.0,170.0,231.0,170.0
119.0,222.0,117.0,222.0
214.0,186.0,212.0,187.0
140.0,68.0,138.0,63.0
39.0,178.0,38.0,177.0
135.0,114.0,134.0,111.0
61.0,177.0,60.0,175.0
142.0,81.0,141.0,77.0
155.0,57.0,154.0,53.0
127.0,111.0,126.0,107.0
19.0,116.0,19.0,116.0
169.0,241.0,165.0,246.0
145.0,210.0,140.0,209.0
163.0,218.0,162.0,219.0
89.0,222.0,87.0,222.0
203.0,195.0,201.0,197.0
127.0,146.0,125.0,142.0
161.0,104.0,160.0,100.0
244.0,121.0,235.0,115.0
196.0,70.0,193.0,68.0
22.0,155.0,22.0,154.0
182.0,84.0,180.0,80.0
188.0,233.0,186.0,236.0
112.0,85.0,111.0,81.0
179.0,127.0,178.0,122.0
84.0,194.0,83.0,193.0
60.0,196.0,58.0,195.0
185.0,102.0,183.0,97.0
190.0,168.0,189.0,164.0
107.0,185.0,107.0,182.0
29.0,31.0,30.0,15.0
199.0,214.0,198.0,217.0
99.0,213.0,97.0,213.0
158.0,79.0,157.0,74.0
178.0,45.0,174.0,39.0
80.0,110.0,79.0,110.0
80.0,105.0,80.0,105.0
127.0,71.0,126.0,67.0
156.0,107.0,152.0,104.0
236.0,158.0,234.0,154.0
101.0,57.0,99.0,53.0
196.0,44.0,192.0,38.0
33.0,59.0,26.0,43.0
81.0,242.0,79.0,242.0
111.0,67.0,110.0,64.0
157.0,232.0,148.0,235.0
112.0,218.0,110.0,219.0
243.0,192.0,232.0,200.0
194.0,140.0,194.0,136.0
142.0,224.0,137.0,223.0
68.0,119.0,67.0,121.0
165.0,28.0,160.0,23.0
