x1,y1,x2,y2
161.0,93.0,144.0,46.0
129.0,184.0,110.0,138.0
132.0,173.0,114.0,125.0
162.0,106.0,145.0,59.0
122.0,179.0,103.0,134.0
117.0,115.0,100.0,71.0
102.0,166.0,85.0,123.0
46.0,66.0,46.0,87.0
33.0,51.0,42.0,57.0
193.0,82.0,179.0,36.0
49.0,46.0,57.0,56.0
115.0,200.0,102.0,153.0
87.0,229.0,92.0,230.0
132.0,113.0,115.0,69.0
194.0,156.0,188.0,120.0
112.0,123.0,97.0,79.0
48.0,58.0,56.0,67.0
146.0,123.0,127.0,77.0
149.0,153.0,129.0,106.0
40.0,57.0,51.0,67.0
196.0,113.0,174.0,66.0
28.0,133.0,36.0,124.0
146.0,118.0,127.0,71.0
34.0,186.0,40.0,182.0
107.0,125.0,89.0,83.0
105.0,232.0,109.0,233.0
150.0,144.0,130.0,97.0
83.0,168.0,73.0,131.0
71.0,199.0,78.0,197.0
64.0,177.0,57.0,147.0
194.0,151.0,188.0,115.0
57.0,30.0,67.0,41.0
