x1,y1,x2,y2
54.0,177.0,59.0,163.0
42.0,61.0,41.0,59.0
162.0,99.0,174.0,81.0
151.0,129.0,162.0,110.0
129.0,116.0,142.0,95.0
169.0,183.0,177.0,171.0
166.0,126.0,179.0,110.0
114.0,89.0,129.0,65.0
46.0,197.0,48.0,181.0
108.0,96.0,122.0,73.0
63.0,183.0,67.0,169.0
157.0,146.0,167.0,130.0
158.0,163.0,168.0,147.0
116.0,117.0,130.0,94.0
184.0,176.0,191.0,166.0
15.0,176.0,27.0,165.0
67.0,128.0,76.0,115.0
162.0,55.0,148.0,50.0
113.0,105.0,128.0,83.0
52.0,185.0,55.0,173.0
131.0,167.0,141.0,147.0
16.0,152.0,30.0,147.0
147.0,160.0,156.0,143.0
15.0,187.0,15.0,166.0
63.0,210.0,63.0,202.0
143.0,90.0,157.0,69.0
34.0,76.0,30.0,72.0
174.0,166.0,182.0,152.0
30.0,64.0,20.0,67.0
127.0,107.0,142.0,85.0
226.0,186.0,235.0,184.0
